case,suite,network_name,bounds_label,neurons_label,pair_group,plot_label,runtime_ms,memory_delta_kb,containment_pass,containment_ratio,sample_point_containment_ratio,avg_bound_width,avg_sample_width,avg_tightness_ratio,polygon_area,sample_hull_area,polygon_over_hull_area_ratio,min_slack,avg_slack,sample_metric_outputs,bounded_directions,checked_directions
NN1_Neurons01_BoxIBP,neuron_variation,NN1,B1.csv,"(0, 0) & (0, 1)",same_layer,"NN1
(0, 0) & (0, 1)",213.333,312,False,0.0,0.078,0.634573,0.926888,1.462136,0.25,0.493412,0.506676,-0.556675,-0.146158,5,0,16
NN1_Neurons23_BoxIBP,neuron_variation,NN1,B1.csv,"(0, 2) & (0, 3)",same_layer,"NN1
(0, 2) & (0, 3)",213.949,0,True,1.0,1.0,0.95186,0.620354,0.675261,0.5,0.247779,2.017929,0.000115,0.165753,5,16,16
NN1_Output01_BoxIBP,neuron_variation,NN1,B1.csv,"(1, 0) & (1, 1)",same_layer,"NN1
(1, 0) & (1, 1)",266.222,0,True,1.0,1.0,0.933505,0.179838,0.207148,0.517359,0.0,,0.0,0.376833,5,16,16
NN1_CrossLayer00_BoxIBP,neuron_variation,NN1,B1.csv,"(0, 0) & (1, 0)",cross_layer,"NN1
(0, 0) & (1, 0)",219.529,0,False,0.1875,0.5045,0.686437,0.749742,1.114124,0.290865,0.190082,1.530209,-0.498611,-0.031653,5,3,16
NN1_CrossLayer11_BoxIBP,neuron_variation,NN1,B1.csv,"(0, 1) & (1, 1)",cross_layer,"NN1
(0, 1) & (1, 1)",216.878,0,False,0.4375,0.175,0.881641,0.317154,0.39906,0.444672,0.0,,-0.25,0.282243,5,7,16
IR11_1_Neurons01_BoxIBP,neuron_variation,IR11_1,B1.csv,"(0, 0) & (0, 1)",same_layer,"IR11_1
(0, 0) & (0, 1)",0.948,0,False,0.0,0.083,0.634573,0.934958,1.474219,0.25,0.493243,0.506849,-0.556178,-0.150192,2,0,16
IR11_1_Neurons23_BoxIBP,neuron_variation,IR11_1,B1.csv,"(0, 2) & (0, 3)",same_layer,"IR11_1
(0, 2) & (0, 3)",0.897,0,True,1.0,1.0,0.95186,0.610386,0.664633,0.5,0.244804,2.042447,0.000318,0.170737,2,16,16
IR11_1_Output01_BoxIBP,neuron_variation,IR11_1,B1.csv,"(1, 0) & (1, 1)",same_layer,"IR11_1
(1, 0) & (1, 1)",0.804,0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,16,16
IR11_1_CrossLayer00_BoxIBP,neuron_variation,IR11_1,B1.csv,"(0, 0) & (1, 0)",cross_layer,"IR11_1
(0, 0) & (1, 0)",0.848,0,False,0.0625,0.504,0.317287,0.632694,1.994079,0.0,0.0,,-0.498964,-0.157704,2,1,16
IR11_1_CrossLayer11_BoxIBP,neuron_variation,IR11_1,B1.csv,"(0, 1) & (1, 1)",cross_layer,"IR11_1
(0, 1) & (1, 1)",1.052,0,False,0.0625,0.168,0.317287,0.317285,0.999996,0.0,0.0,,-0.25,1e-06,2,1,16
IR11_2_Hidden01_BoxIBP,neuron_variation,IR11_2,B1-repeat,"(1, 0) & (1, 1)",same_layer,"IR11_2
(1, 0) & (1, 1)",10.824,0,True,1.0,1.0,83.927602,11.073835,0.13277,4372.418173,58.63158,74.574456,0.0,36.426883,3,16,16
IR11_2_Hidden23_BoxIBP,neuron_variation,IR11_2,B1-repeat,"(1, 2) & (1, 3)",same_layer,"IR11_2
(1, 2) & (1, 3)",10.034,0,True,1.0,1.0,89.218111,16.728149,0.186502,4851.617748,150.780871,32.176613,0.0,36.244981,3,16,16
IR11_2_FirstLayer01_BoxIBP,neuron_variation,IR11_2,B1-repeat,"(0, 0) & (0, 1)",same_layer,"IR11_2
(0, 0) & (0, 1)",12.386,0,True,1.0,1.0,0.634573,0.617591,0.974045,0.25,0.244704,1.021642,0.0,0.008491,3,16,16
IR11_2_CrossLayer00_BoxIBP,neuron_variation,IR11_2,B1-repeat,"(0, 0) & (1, 0)",cross_layer,"IR11_2
(0, 0) & (1, 0)",11.029,0,True,1.0,1.0,42.79276,8.437207,0.248427,33.467757,5.854087,5.71699,0.0,17.177776,3,16,16
IR11_2_CrossLayer11_BoxIBP,neuron_variation,IR11_2,B1-repeat,"(0, 1) & (1, 1)",cross_layer,"IR11_2
(0, 1) & (1, 1)",10.162,0,True,1.0,1.0,41.769415,3.622497,0.145294,32.661431,2.431102,13.434826,0.0,19.073459,3,16,16
